date,CCF,CCF_quality,TPP,TPP_quality,VNS,VNS_quality,FPT,FPT_quality,CAL,CAL_quality,COS,COS_quality,MOKE,MOKE_quality,GEO_A,GEO_A_quality,GEO_C,GEO_C_quality,FREWEIR,binarized_FREWEIR,data_type,Horizon_15,Horizon_30,Horizon_80
6/2/2023,4496,0,4237,0,27607,0,36399,0,211,0,734,0,2270,0,21100,0,15600,0,--,0,Measured,3.24,1.71,0.28
6/3/2023,4496,0,4234,0,27284,0,32376,0,217,0,690,0,2270,0,18900,0,14100,0,--,0,Measured,3.26,1.76,0.19
6/4/2023,3403,0,4278,0,27093,0,30718,0,215,0,674,0,2270,0,17800,0,13200,0,--,0,Measured,3.12,1.73,0.17
6/5/2023,3699,0,4263,0,27084,0,30462,0,210,0,655,0,2270,0,17400,0,12900,0,--,0,Measured,3.23,1.89,0.19
6/6/2023,5692,0,2096,0,27007,0,31122,0,215,0,646,0,2260,0,17800,0,13300,0,--,0,Measured,3.2,1.87,0.15
6/7/2023,1990,0,4221,0,26916,0,33691,0,224,0,652,0,2240,0,19000,0,14300,0,--,0,Measured,3.15,2.04,0.14
6/8/2023,5693,0,3526,0,26692,0,35764,0,227,0,606,0,2230,0,20000,0,15000,0,--,0,Measured,3.31,1.9,0.11
6/9/2023,5699,0,3510,0,26287,0,35186,0,227,0,566,0,2220,0,20100,0,15000,0,--,0,Measured,3.29,1.87,0.11
6/10/2023,4894,0,3511,0,25892,0,34504,0,227,0,531,0,2220,0,19600,0,14600,0,--,0,Measured,3.34,1.85,0.22
6/11/2023,2898,0,3493,0,25613,0,32844,0,228,0,553,0,2220,0,18900,0,14100,0,--,0,Measured,3.02,1.88,0.03
6/12/2023,4500,0,2496,0,25236,0,32313,0,227,0,565,0,2220,0,18500,0,13800,0,--,0,Measured,3.01,1.83,0.19
6/13/2023,5495,0,2530,0,24864,0,32094,0,226,0,578,0,2170,0,18200,0,13500,0,--,0,Measured,3.43,1.62,0.27
6/14/2023,5497,0,2346,0,24582,0,30894,0,217,0,602,0,1860,0,17400,0,12900,0,--,0,Measured,3.54,1.82,0.35
6/15/2023,6388,0,2357,0,23997,0,28642,0,212,0,551,0,1800,0,16100,0,11900,0,--,0,Measured,3.91,1.75,0.13
6/16/2023,6671,0,2623,0,23137,0,26701,0,225,0,504,0,1770,0,14900,0,10900,0,--,0,Measured,4.48,3.36,-0.34
6/17/2023,4696,0,4250,0,22466,0,23576,0,237,0,451,0,1640,0,13500,0,9750,0,--,0,Measured,4.5,3.42,-0.2
6/18/2023,2992,0,4210,0,21827,0,20427,0,228,0,417,0,1620,0,12100,0,8640,0,--,0,Measured,3.12,1.6,0.13
6/19/2023,5499,0,4213,0,21199,0,19077,0,225,0,398,0,1610,0,11200,0,8140,0,--,0,Measured,4.04,1.8,0.45
6/20/2023,2000,0,4216,0,20555,0,18454,0,228,0,373,0,1600,0,10800,0,7820,0,--,0,Measured,3.13,1.89,0.24
6/21/2023,5982,0,3504,0,19937,0,17453,0,224,0,341,0,1580,0,10200,0,7170,0,--,0,Measured,3.74,2.07,0.15
6/22/2023,5980,0,3532,0,19202,0,16563,0,225,0,321,0,1560,0,9920,0,6720,0,--,0,Measured,3.54,2.01,-0.01
6/23/2023,5989,0,3536,0,17797,0,16561,0,223,0,305,0,1400,0,10300,0,5860,0,--,0,Measured,9.68,8.61,6.18
6/24/2023,5990,0,3486,0,15152,0,15928,0,213,0,291,0,1230,0,10300,0,4800,0,--,0,Measured,12.28,11.1,8.35
6/25/2023,5993,0,3517,0,13952,0,15290,0,197,0,281,0,1060,0,10200,0,4570,0,--,0,Measured,14.97,14.01,8.63
6/26/2023,6007,0,3511,0,13059,0,15214,0,188,0,271,0,893,0,10100,0,4400,0,--,0,Measured,15.7,14.34,10.42
6/27/2023,993,0,3524,0,12195,0,14653,0,203,0,262,0,696,0,9740,0,4080,0,--,0,Measured,9.24,8.1,4.84
6/28/2023,0,0,3529,0,11219,0,13734,0,231,0,249,0,560,0,9300,0,3740,0,--,0,Measured,10,8.64,4.72
6/29/2023,0,0,3543,0,10390,0,13478,0,248,0,239,0,544,0,8960,0,3520,0,--,0,Measured,10.02,8.5,4.47
6/30/2023,994,0,3543,0,9757,0,12826,0,262,0,231,0,779,0,8640,0,3300,0,--,0,Measured,8.88,7.68,3.1
7/1/2023,2490,0,3544,0,9078,0,13011,0,277,0,215,0,1050,0,8460,0,3210,0,--,0,Measured,12.16,11.19,8.1
7/2/2023,6076,0,3529,0,8742,0,12200,0,264,0,219,0,1070,0,8350,0,3020,0,--,0,Measured,18.73,17.56,14.28
7/3/2023,5994,0,3537,0,8663,0,11943,0,243,0,210,0,1070,0,8180,0,2920,0,--,0,Measured,18.65,17.47,14.19
7/4/2023,6672,0,3379,0,8637,0,11711,0,223,0,197,0,1080,0,8030,0,2980,0,--,0,Measured,18.8,17.76,14.77
7/5/2023,6673,0,3979,0,8726,0,11637,0,226,0,191,0,1110,0,8040,0,3010,0,--,0,Measured,19.05,17.95,14.93
7/6/2023,6679,0,4229,0,9010,0,11657,0,233,0,184,0,1410,0,8080,0,3030,0,--,0,Measured,19.39,18.24,15
7/7/2023,6677,0,4217,0,9070,0,11460,0,251,0,175,0,1630,0,8050,0,3060,0,--,0,Measured,19.56,18.43,15.1
7/8/2023,6674,0,4219,0,8784,0,11381,0,263,0,171,0,1650,0,8120,0,3100,0,--,0,Measured,19.41,18.25,15.14
7/9/2023,6674,0,4117,0,8236,0,11919,0,249,0,162,0,1670,0,8390,0,3290,0,--,0,Measured,19.67,18.6,15.39
7/10/2023,6679,0,4181,0,7777,0,12408,0,237,0,158,0,1680,0,8400,0,3350,0,--,0,Measured,20.08,18.84,15.53
7/11/2023,6673,0,4187,0,7639,0,12207,0,229,0,151,0,1670,0,8210,0,3090,0,--,0,Measured,20.14,18.82,15.45
7/12/2023,6669,0,4225,0,7638,0,12551,0,248,0,144,0,1660,0,8470,0,3100,0,--,0,Measured,19.91,18.64,15.34
7/13/2023,6671,0,4214,0,7580,0,13546,0,278,0,143,0,1650,0,8930,0,3440,0,--,0,Measured,19.9,18.62,15.34
7/14/2023,6673,0,4230,0,7452,0,13714,0,288,0,136,0,1670,0,9050,0,3500,0,--,0,Measured,19.89,18.65,15.37
7/15/2023,6674,0,4236,0,7401,0,13908,0,262,0,129,0,1980,0,9190,0,3600,0,--,0,Measured,19.94,18.73,15.33
7/16/2023,6678,0,3890,0,7210,0,14437,0,239,0,124,0,2070,0,9410,0,3790,0,--,0,Measured,19.68,18.51,15.2
7/17/2023,6678,0,3963,0,6960,0,15028,0,233,0,119,0,2080,0,9620,0,3960,0,--,0,Measured,19.73,18.55,15.4
7/18/2023,6673,0,4227,0,6972,0,15048,0,214,0,116,0,2080,0,9670,0,4080,0,--,0,Measured,20.1,18.99,15.53
7/19/2023,6624,0,4218,0,6809,0,15078,0,216,0,111,0,2050,0,9610,0,4090,0,--,0,Measured,20.08,18.98,15.57
7/20/2023,6023,0,4210,0,6393,0,14911,0,241,0,109,0,1710,0,9580,0,3980,0,--,0,Measured,19.76,18.62,15.41
7/21/2023,6670,0,4207,0,6076,0,14773.5,1,260,0,108,0,1510,0,9600,0,3830,0,--,0,Measured,20.28,19.15,15.76
7/22/2023,6672,0,4220,0,5787,0,14636,0,273,0,104,0,1360,0,9650,0,3790,0,--,0,Measured,20.43,19.29,15.7
7/23/2023,6675,0,4231,0,5450,0,14837,0,257,0,102,0,1350,0,9850,0,3900,0,--,0,Measured,20.48,19.26,15.58
7/24/2023,6662,0,4213,0,5197,0,15402,0,236,0,100,0,1340,0,10100,0,4130,0,--,0,Measured,21,19.77,15.95
7/25/2023,6468,0,4201,0,5288,0,15402,0,232,0,95.7,0,1330,0,10300,0,4190,0,--,0,Measured,20.14,19.1,15.47
7/26/2023,6671,0,4213,0,5350,0,15819,0,237,0,93,0,1330,0,10500,0,4090,0,--,0,Measured,20.2,19.17,15.56
7/27/2023,6674,0,4221,0,5154,0,16448,0,255,0,91.8,0,1290,0,10700,0,4150,0,--,0,Measured,20.71,19.71,15.93
7/28/2023,6673,0,4217,0,4738,0,16664,0,263,0,91.1,0,1140,0,10800,0,4180,0,--,0,Measured,20.9,19.58,15.89
7/29/2023,6680,0,4214,0,4234,0,16852,0,251,0,91.7,0,1050,0,11000,0,4260,0,--,0,Measured,20.82,19.47,15.93
7/30/2023,6670,0,3970,0,3827,0,17674,0,238,0,90.7,0,1040,0,11400,0,4440,0,--,0,Measured,21,19.61,15.88
7/31/2023,6678,0,3554,0,3554,0,18297,0,226,0,89.6,0,1010,0,11700,0,4520,0,--,0,Measured,20.78,19.49,15.82
8/1/2023,6679,0,4208,0,3519,0,18230,0,234,0,89.2,0,836,0,11900,0,4480,0,--,0,Measured,21.19,19.96,15.97
8/2/2023,6680,0,4232,0,3657,0,18241,0,236,0,89,0,653,0,12000,0,4500,0,--,0,Measured,21.11,19.98,15.73
8/3/2023,6671,0,4238,0,3730,0,18206,0,210,0,88.9,0,460,0,12000,0,4530,0,--,0,Measured,21.25,20.13,15.88
8/4/2023,6677,0,4244,0,3742,0,17956,0,202,0,88.9,0,439,0,11900,0,4440,0,--,0,Measured,21.13,19.97,15.83
8/5/2023,6670,0,4204,0,3751,0,17462,0,202,0,85.8,0,435,0,11600,0,4360,0,--,0,Measured,21.16,20,15.84
8/6/2023,6674,0,4165,0,3600,0,17272,0,202,0,83.7,0,436,0,11500,0,4350,0,--,0,Measured,21.49,20.1,16.07
8/7/2023,6489,0,4166,0,3389,0,17356,0,202,0,81.7,0,428,0,11400,0,4080,0,--,0,Measured,21.14,20.05,15.69
8/8/2023,6677,0,4009,0,3361,0,17086,0,199,0,80.8,0,475,0,11300,0,3960,0,--,0,Measured,21.36,20.26,15.86
8/9/2023,6673,0,4205,0,3184,0,17327,0,200,0,79.7,0,484,0,11200,0,4200,0,--,0,Measured,21.47,20.33,16.44
8/10/2023,6676,0,3828,0,3443,0,16818,0,198,0,78.9,0,491,0,10900,0,4070,0,--,0,Measured,21.37,20.12,16.12
8/11/2023,6679,0,4219,0,3905,0,16486,0,202,0,78.1,0,479,0,10700,0,3990,0,--,0,Measured,21.35,19.97,16.05
8/12/2023,4995,0,3787,0,4283,0,16383,0,213,0,79.2,0,471,0,10600,0,3990,0,--,0,Measured,20.13,18.83,15.29
8/13/2023,6679,0,4138,0,4245,0,16573,0,216,0,79.3,0,469,0,10700,0,3980,0,--,0,Measured,21.05,19.82,16.1
8/14/2023,6675,0,4109,0,4196,0,16756,0,209,0,79.7,0,470,0,10800,0,3990,0,--,0,Measured,21.3,19.96,16.2
8/15/2023,6677,0,4188,0,4336,0,16913,0,209,0,78.4,0,459,0,10900,0,3970,0,--,0,Measured,21.27,19.94,16.15
8/16/2023,6677,0,4196,0,4430,0,16786,0,217,0,75.3,0,465,0,10800,0,3900,0,--,0,Measured,21.29,19.96,16.19
8/17/2023,6669,0,4190,0,4399,0,16364,0,216,0,75.5,0,478,0,10800,0,3740,0,--,0,Measured,21.11,19.84,16.16
8/18/2023,6670,0,4216,0,4282,0,16276,0,218,0,77,0,476,0,10700,0,3800,0,--,0,Measured,21.05,19.82,16.13
8/19/2023,6672,0,4168,0,4147,0,15976,0,216,0,71.3,0,492,0,10600,0,3890,0,--,0,Measured,20.94,19.79,15.98
8/20/2023,6679,0,4158,0,3930,0,16039,0,215,0,71.4,0,504,0,10500,0,3930,0,--,0,Measured,21.06,19.82,16.03
8/21/2023,6677,0,4189,0,3797,0,15870,0,206,0,72.8,0,531,0,10500,0,3890,0,--,0,Measured,21.24,20.14,16.2
8/22/2023,6557,0,4189,0,3853,0,16309,0,194,0,79.3,0,497,0,10600,0,4050,0,--,0,Measured,20.95,20,16.11
8/23/2023,6661,0,4211,0,3889,0,16424,0,196,0,80.2,0,482,0,10700,0,3920,0,--,0,Measured,21.54,20.24,16.27
8/24/2023,6670,0,4235,0,3804,0,16821,0,209,0,78,0,469,0,10800,0,3930,0,--,0,Measured,21.54,20.24,16.27
8/25/2023,6670,0,4227,0,3738,0,18330,0,220,0,74.3,0,475,0,11500,0,4650,0,--,0,Measured,21.35,20.12,16.27
8/26/2023,6669,0,4234,0,3596,0,18608,0,227,0,72.3,0,480,0,11800,0,4950,0,--,0,Measured,21.33,20.1,16.17
8/27/2023,6675,0,4055,0,3337,0,18795,0,214,0,70.5,0,484,0,11900,0,4930,0,--,0,Measured,21.43,20.24,16.23
