DSM2_Node,entrainment
323,2.879418523
322,3.190439109
321,1.618703973
281,40.50448957
314,0
272,30.76914419
307,2.88205867
261,40.91847366
258,35.24328336
249,53.0553852
240,7.345790905
232,50.25474198
174,100
145,99.16437929
113,99.73910481
469,8.056866271
465,0
461,1.603584336
99,78.82404789
86,98.39107698
75,99.97161298
428,0
420,0
41,23.80839577
39,33.28804076
34,62.79500885
359,0.303803311
354,0.726223112
353,1.10639437
351,3.582523847
350,4.613139359
25,83.11281156
21,66.92528667
7,80.37940784
344,5.147698667
1,79.44350526
339,13.08227584
330,12.35650698
291,39.04029503
