date,VER,EXP,EAST,XGEO,RISK,event_horizon_distance
20260216,3000,6000,1500,3000,30,7.19
20260217,3050,6000,1500,3000,30,7.5
20260218,3100,6000,1500,3000,30,8
20260219,3150,6000,1500,3000,30,8.5
20260220,3200,6000,1500,3000,30,9
20260221,3250,6000,1500,3000,30,9.5
20260222,3300,6000,1500,3000,30,10
20260223,3350,6000,1500,3000,30,10.5
20260224,3400,6000,1500,3000,30,11
20260225,3450,6000,1500,3000,30,11.5
20260226,3500,6000,1500,3000,30,12
20260227,3550,6000,1500,3000,30,12.5
20260228,3600,6000,1500,3000,30,13
20260229,3650,6000,1500,3000,30,13.5
20260230,3700,6000,1500,3000,30,14
20260231,3750,6000,1500,3000,30,14.5
20260232,3800,6000,1500,3000,30,15
20260233,3850,6000,1500,3000,30,15.5
20260234,3900,6000,1500,3000,30,16
20260235,3950,6000,1500,3000,30,16.5
20260236,4000,6000,1500,3000,30,17
20260237,4050,6000,1500,3000,30,17.5
20260238,4100,6000,1500,3000,30,18
20260239,4150,6000,1500,3000,30,18.5
20260240,4200,6000,1500,3000,30,19
20260241,4250,6000,1500,3000,30,19.5
20260242,4300,6000,1500,3000,30,20
20260243,4350,6000,1500,3000,30,20.5
20260244,4400,6000,1500,3000,30,21
20260245,4450,6000,1500,3000,30,21.5
20260246,4500,6000,1500,3000,30,22
20260247,4550,6000,1500,3000,30,22.5
20260248,4600,6000,1500,3000,30,23
20260249,4650,6000,1500,3000,30,23.5
20260250,4700,6000,1500,3000,30,24
20260251,4750,6000,1500,3000,30,24.5
20260252,4800,6000,1500,3000,30,25
20260253,4850,6000,1500,3000,30,25.5
20260254,4900,6000,1500,3000,30,26
20260216,3000,6000,1500,3000,15,7.19
20260217,3050,6000,1500,3000,15,7.5
20260218,3100,6000,1500,3000,15,8
20260219,3150,6000,1500,3000,15,8.5
20260220,3200,6000,1500,3000,15,9
20260221,3250,6000,1500,3000,15,9.5
20260222,3300,6000,1500,3000,15,10
20260223,3350,6000,1500,3000,15,10.5
20260224,3400,6000,1500,3000,15,11
20260225,3450,6000,1500,3000,15,11.5
20260226,3500,6000,1500,3000,15,12
20260227,3550,6000,1500,3000,15,12.5
20260228,3600,6000,1500,3000,15,13
20260229,3650,6000,1500,3000,15,13.5
20260230,3700,6000,1500,3000,15,14
20260231,3750,6000,1500,3000,15,14.5
20260232,3800,6000,1500,3000,15,15
20260233,3850,6000,1500,3000,15,15.5
20260234,3900,6000,1500,3000,15,16
20260235,3950,6000,1500,3000,15,16.5
20260236,4000,6000,1500,3000,15,17
20260237,4050,6000,1500,3000,15,17.5
20260238,4100,6000,1500,3000,15,18
20260239,4150,6000,1500,3000,15,18.5
20260240,4200,6000,1500,3000,15,19
20260241,4250,6000,1500,3000,15,19.5
20260242,4300,6000,1500,3000,15,20
20260243,4350,6000,1500,3000,15,20.5
20260244,4400,6000,1500,3000,15,21
20260245,4450,6000,1500,3000,15,21.5
20260246,4500,6000,1500,3000,15,22
20260247,4550,6000,1500,3000,15,22.5
20260248,4600,6000,1500,3000,15,23
20260249,4650,6000,1500,3000,15,23.5
20260250,4700,6000,1500,3000,15,24
20260251,4750,6000,1500,3000,15,24.5
20260252,4800,6000,1500,3000,15,25
20260253,4850,6000,1500,3000,15,25.5
20260254,4900,6000,1500,3000,15,26
20260216,3000,6000,1500,3000,80,7.19
20260217,3050,6000,1500,3000,80,7.5
20260218,3100,6000,1500,3000,80,8
20260219,3150,6000,1500,3000,80,8.5
20260220,3200,6000,1500,3000,80,9
20260221,3250,6000,1500,3000,80,9.5
20260222,3300,6000,1500,3000,80,10
20260223,3350,6000,1500,3000,80,10.5
20260224,3400,6000,1500,3000,80,11
20260225,3450,6000,1500,3000,80,11.5
20260226,3500,6000,1500,3000,80,12
20260227,3550,6000,1500,3000,80,12.5
20260228,3600,6000,1500,3000,80,13
20260229,3650,6000,1500,3000,80,13.5
20260230,3700,6000,1500,3000,80,14
20260231,3750,6000,1500,3000,80,14.5
20260232,3800,6000,1500,3000,80,15
20260233,3850,6000,1500,3000,80,15.5
20260234,3900,6000,1500,3000,80,16
20260235,3950,6000,1500,3000,80,16.5
20260236,4000,6000,1500,3000,80,17
20260237,4050,6000,1500,3000,80,17.5
20260238,4100,6000,1500,3000,80,18
20260239,4150,6000,1500,3000,80,18.5
20260240,4200,6000,1500,3000,80,19
20260241,4250,6000,1500,3000,80,19.5
20260242,4300,6000,1500,3000,80,20
20260243,4350,6000,1500,3000,80,20.5
20260244,4400,6000,1500,3000,80,21
20260245,4450,6000,1500,3000,80,21.5
20260246,4500,6000,1500,3000,80,22
20260247,4550,6000,1500,3000,80,22.5
20260248,4600,6000,1500,3000,80,23
20260249,4650,6000,1500,3000,80,23.5
20260250,4700,6000,1500,3000,80,24
20260251,4750,6000,1500,3000,80,24.5
20260252,4800,6000,1500,3000,80,25
20260253,4850,6000,1500,3000,80,25.5
20260254,4900,6000,1500,3000,80,26
