Forecast start date,,,VNS-QR,FPT-QR,,,,,,data type,,Data request:,,"Updated 1/8/2026 by Stantec. Added measured data from 1/5/2026 to 1/7/2026, adjusted forecast."
1/5/2026,af,af,cfs,cfs,cfs,cfs,cfs,cfs,cfs,,,31 days of historical measured data prior to forecast date ,,
DATE,CCF,TPP,VNS,FPT,CAL,MOKE,COS,SACWEIR,FREWEIR,,DCC,14 days of forecast data after forecast date,,
12/12/2025,3952,1915,1161,9935,24,284,76.6,0,0,Measured,0,,,
12/13/2025,3956,1919,1133,9724,24,312,76,0,0,Measured,0,,,
12/14/2025,3963,1922,1125,9847,24,319,75.2,0,0,Measured,0,,,
12/15/2025,3960,1829,1121,10204,24,290,74.1,0,0,Measured,0,,,
12/16/2025,3172,1922,1096,10492,24,269,73.8,0,0,Measured,0,,,
12/17/2025,3147,1924,1071,10806,24,280,75.5,0,0,Measured,0,,,
12/18/2025,3965,1927,1092,11679,24,284,82,0,0,Measured,0,,,
12/19/2025,5931,1949,1747,13236,91,281,89.7,0,0,Measured,0,,,
12/20/2025,10880,5275,3558,18038,150,281,97.5,0,0,Measured,0,,,
12/21/2025,12873,6992,4848,20977,150,283,166,0,0,Measured,0,,,
12/22/2025,10892,7004,5822,33157,150,304,552,0,0,Measured,0,,,
12/23/2025,14865,8224,6068,47908,151,281,1040,0,0,Measured,0,,,
12/24/2025,7326,8072,5780,52159,153,332,2070,0,0,Measured,0,,,
12/25/2025,3750,8097,5256,57117,147,365,4140,0,0,Measured,0,,,
12/26/2025,8121,7031,4453,65265,197,319,2970,0,9183,Measured,0,,,
12/27/2025,7302,6976,4074,69619,245,677,1890,0,37180,Measured,0,,,
12/28/2025,7119,6996,3487,69585,241,757,1210,0,39848,Measured,0,,,
12/29/2025,3951,6991,2587,68553,246,767,895,0,30134,Measured,0,,,
12/30/2025,3569,7014,2152,64801,240,791,711,0,10944,Measured,0,,,
12/31/2025,3360,7043,1934,61200,252,1049,597,0,165,Measured,0,,,
1/1/2026,3355,7087,1874,56858,250,1150,1070,0,0,Measured,0,,,
1/2/2026,3355,7016,1928,53809,314,1133,2000,0,0,Measured,0,,,
1/3/2026,3168,5389,2495,55873,414,1153,3210,0,0,Measured,0,,,
1/4/2026,7135,5338,2583,67019,437,1345,6310,0,12176,Measured,0,,,
1/5/2026,5554,6942,3387,75132,502,1345,5090,0,46355,Measured,0,,,
1/6/2026,6347,6942,5083,75675,619,1100,2790,0,56697,Measured,0,,,
1/7/2026,7537,8331,4454,75866,602,1000,2020,0,54406,Measured,0,,,
1/8/2026,6149,8331,3541,74302,250,800,1625,0,103680,Forecasted,0,,,
1/9/2026,5355,8331,3237,73450,250,700,1322,0,90858,Forecasted,0,,,
1/10/2026,6347,6942,3124,72041,250,500,1000,0,73496,Forecasted,0,,,
1/11/2026,5752,6942,2973,70572,250,300,700,0,59808,Forecasted,0,,,
1/12/2026,5355,6942,2724,69004,250,300,500,0,53073,Forecasted,0,,,
1/13/2026,5355,6942,2551,66245,250,300,500,0,50066,Forecasted,0,,,
1/14/2026,5355,6942,2551,62756,250,300,500,0,50066,Forecasted,0,,,
1/15/2026,5355,6942,2551,62756,250,300,500,0,50066,Forecasted,0,,,
1/16/2026,5355,6942,2552,62756,250,300,500,0,50066,Forecasted,0,,,
1/17/2026,5355,6942,2552,62756,250,300,500,0,50066,Forecasted,0,,,
1/18/2026,5355,6942,2553,62756,250,300,500,0,50066,Forecasted,0,,,
1/19/2026,5355,6942,2553,62756,250,300,500,0,50066,Forecasted,0,,,
1/20/2026,5355,6942,2553,62756,250,300,500,0,50066,Forecasted,0,,,
1/21/2026,5355,6942,2554,62756,250,300,500,0,50066,Forecasted,0,,,
1/22/2026,5355,6942,2554,62756,250,300,500,0,50066,Forecasted,0,,,
1/23/2026,5355,6942,2555,62756,250,300,500,0,50066,Forecasted,0,,,
1/24/2026,5355,6942,2555,62756,250,300,500,0,50066,Forecasted,0,,,
1/25/2026,5355,6942,2555,62756,250,300,500,0,50066,Forecasted,0,,,
1/26/2026,5355,6942,2556,62756,250,300,500,0,50066,Forecasted,0,,,
1/27/2026,5355,6942,2556,62756,250,300,500,0,50066,Forecasted,0,,,
