DATE,CCF,TPP,VNS,FPT,CAL,MOKE,COS,SACWEIR,FREWEIR,data type,DCC,14 DAYS OF FORECAST DATA AFTER FORECAST DATE
3/6/2026,8329,8351,6106,50104,104,359,1365,0,0,Measured,0,
3/7/2026,8121,8367,5683,46516,105,352,1207,0,0,Measured,0,
3/8/2026,7409,8024,5345,43272,112,353,1108,0,0,Measured,0,
3/9/2026,7120,8399,5186,40656,114,357,1065,0,0,Measured,0,
3/10/2026,7321,8397,5019,39212,78,342,1011,0,0,Measured,0,
3/11/2026,6928,8361,4919,37076,54,342,949,0,0,Measured,0,
3/12/2026,6942,8353,4792,34136,50,331,881,0,0,Measured,0,
3/13/2026,6740,8370,4728,30884,54,335,839,0,0,Measured,0,
3/14/2026,6528,8378,4813,28720,60,330,800,0,0,Measured,0,
3/15/2026,6536,8359,4885,27508,63,294,755,0,0,Measured,0,
3/16/2026,6005,8343,4883,26652,58,236,723,0,0,Measured,0,
3/17/2026,6736,8358,4741,25584,63,226,708,0,0,Measured,0,
3/18/2026,6538,8343,4593,24200,58,227,651,0,0,Measured,0,
3/19/2026,585,1677,4214,22556,62,226,620,0,0,Measured,0,
3/20/2026,6130,8314,3852,21624,63,210,607,0,0,Measured,0,
3/21/2026,5729,8362,3562,20584,66,205,563,0,0,Measured,0,
3/22/2026,5351,8380,3325,19808,62,202,553,0,0,Measured,0,
3/23/2026,4954,8381,3057,19100,66,199,534,0,0,Measured,0,
3/24/2026,6346,6929,2683,18400,61,182,500,0,0,Measured,0,
3/25/2026,5750,6975,2398,17108,40,193,471,0,0,Measured,0,
3/26/2026,5542,6991,2186,15672,53,197,452,0,0,Measured,0,
3/27/2026,5152,6972,2038,14064,74,189,425,0,0,Measured,0,
3/28/2026,4938,6986,1974,13236,57,195,399,0,0,Measured,0,
3/29/2026,4730,6973,1948,13036,49,194,373,0,0,Measured,0,
3/30/2026,4712,6967,1848,12777,40,188,359,0,0,Measured,0,
3/31/2026,4732,6980,1861,12424,40,199,354,0,0,Measured,0,
4/1/2026,1190,6988,2095,12476,36,205,878,0,0,Measured,0,
4/2/2026,1183,6829,2163,12985,28,177,1163,0,0,Measured,0,
4/3/2026,1180,6955,2316,14567,28,187,1176,0,0,Measured,0,
4/4/2026,1190,6954,2478,15390,29,180,900,0,0,Measured,0,
4/5/2026,1183,6961,2564,15112,69,179,770,0,0,Measured,0,
4/6/2026,1190,6942,2645,13917,69,179,675,0,0,Forecasted,0,
4/7/2026,1190,6942,2637,13022,69,179,578,0,0,Forecasted,0,
4/8/2026,1190,6942,2604,12783,69,179,506,0,0,Forecasted,0,
4/9/2026,1190,6942,2572,12865,69,179,456,0,0,Forecasted,0,
4/10/2026,1190,6942,2547,13590,69,179,446,0,0,Forecasted,0,
4/11/2026,1190,6942,2500,15314,69,179,510,0,0,Forecasted,0,
4/12/2026,1190,6942,2450,16511,69,179,510,0,0,Forecasted,0,
4/13/2026,1190,1785,2400,16887,69,179,510,0,0,Forecasted,0,
4/14/2026,1190,1785,2350,16858,69,179,510,0,0,Forecasted,0,
4/15/2026,1190,1785,2300,16705,69,179,510,0,0,Forecasted,0,
4/16/2026,1190,1785,2250,16000,69,179,510,0,0,Forecasted,0,
4/17/2026,1190,1785,2200,15000,69,179,510,0,0,Forecasted,0,
4/18/2026,1190,1785,2200,14000,69,179,510,0,0,Forecasted,0,
4/19/2026,1190,1785,2200,13000,69,179,510,0,0,Forecasted,0,
4/20/2026,1190,1785,2200,13000,69,179,510,0,0,Forecasted,0,
4/21/2026,1190,1785,2200,13000,69,179,510,0,0,Forecasted,0,
4/22/2026,1190,1785,2200,13000,69,179,510,0,0,Forecasted,0,
4/23/2026,1190,1785,2200,13000,69,179,510,0,0,Forecasted,0,
4/24/2026,1190,1785,2200,13000,69,179,510,0,0,Forecasted,0,
4/25/2026,1190,1785,2200,13000,69,179,510,0,0,Forecasted,0,
4/26/2026,1190,1785,2200,13000,69,179,510,0,0,Forecasted,0,
4/27/2026,1190,1785,2200,13000,69,179,510,0,0,Forecasted,0,
4/28/2026,1190,1785,2200,13000,69,179,510,0,0,Forecasted,0,
