Forecast start date,,,VNS-QR,FPT-QR,,,,,,data type,,Data request:
5/11/2026,af,af,cfs,cfs,cfs,cfs,cfs,cfs,cfs,,,31 days of historical measured data prior to forecast date 
DATE,CCF,TPP,VNS,FPT,CAL,MOKE,COS,SACWEIR,FREWEIR,,,14 days of forecast data after forecast date
4/10/2026,1768,6946,2286,12592,69,180,559,0,0,Measured,,
4/11/2026,1766,6968,2490,17038,38,208,995,0,0,Measured,,
4/12/2026,1768,6979,2734,28820,39,218,2238,0,0,Measured,,
4/13/2026,2573,2029,2685,36774,66,196,2899,0,0,Measured,,
4/14/2026,2367,2444,2406,38444,90,595,1958,0,0,Measured,,
4/15/2026,2168,2868,2295,36672,122,997,1702,0,0,Measured,,
4/16/2026,1596,2735,2272,33424,150,1394,1629,0,0,Measured,,
4/17/2026,1388,2719,2073,30676,106,1265,1530,0,0,Measured,,
4/18/2026,1199,2724,2149,28276,56,1010,1397,0,0,Measured,,
4/19/2026,1180,2593,2488,26332,47,688,1289,0,0,Measured,,
4/20/2026,2178,2528,2629,25236,34,391,1151,0,0,Measured,,
4/21/2026,2560,2352,2882,26892,19,469,1283,0,0,Measured,,
4/22/2026,2374,2821,3167,29648,44,381,2034,0,0,Measured,,
4/23/2026,2962,2830,3230,32728,129,317,1577,0,0,Measured,,
4/24/2026,2559,3194,3242,34176,176,347,1368,0,0,Measured,,
4/25/2026,2362,3167,2986,31912,149,341,1281,0,0,Measured,,
4/26/2026,2380,3282,3040,28940,141,339,1207,0,0,Measured,,
4/27/2026,2369,3014,3090,26704,115,333,1241,0,0,Measured,,
4/28/2026,2371,3325,2872,24640,87,328,1134,0,0,Measured,,
4/29/2026,1974,3284,2926,22092,89,327,957,0,0,Measured,,
4/30/2026,2174,3053,2946,20412,88,259,850,0,0,Measured,,
5/1/2026,2362,3063,2683,18724,78,240,785,0,0,Measured,,
5/2/2026,1766,3103,2421,17012,91,236,707,0,0,Measured,,
5/3/2026,1373,2898,2262,15360,87,229,653,0,0,Measured,,
5/4/2026,1180,2796,2095,14560,87,235,606,0,0,Measured,,
5/5/2026,1188,2281,1845,14313,100,238,743,0,0,Measured,,
5/6/2026,1190,2230,1664,14276,106,222,703,0,0,Measured,,
5/7/2026,1186,1768,1457,14008,95,234,611,0,0,Measured,,
5/8/2026,1172,1766,1352,14632,111,221,548,0,0,Measured,,
5/9/2026,1171,1763,1343,15140,131,215,485,0,0,Measured,,
5/10/2026,1183,1760,1367,14728,132,215,448,0,0,Measured,,
5/11/2026,1190,1785,1387,14225,120,210,400,0,0,Forecasted,,
5/12/2026,1190,1785,1475,14593,120,210,400,0,0,Forecasted,,
5/13/2026,1190,1785,1980,13988,120,210,400,0,0,Forecasted,,
5/14/2026,1190,6347,2165,13764,120,210,400,0,0,Forecasted,,
5/15/2026,1190,6347,2173,13658,120,210,400,0,0,Forecasted,,
5/16/2026,1190,6347,2100,13559,120,210,400,0,0,Forecasted,,
5/17/2026,1190,6347,2000,13521,120,210,400,0,0,Forecasted,,
5/18/2026,1190,6347,2000,13504,120,210,400,0,0,Forecasted,,
5/19/2026,1190,6347,2000,13532,120,210,400,0,0,Forecasted,,
5/20/2026,1190,6347,2000,13355,120,210,400,0,0,Forecasted,,
5/21/2026,1190,6347,2000,13000,120,210,400,0,0,Forecasted,,
5/22/2026,1190,6347,2000,13000,120,210,400,0,0,Forecasted,,
5/23/2026,1190,6347,2000,13000,120,210,400,0,0,Forecasted,,
5/24/2026,1190,6347,2000,13000,120,210,400,0,0,Forecasted,,
