DATE,CCF,TPP,VNS,FPT,CAL,MOKE,COS,SACWEIR,FREWEIR,UNNAMED: 10,UNNAMED: 11,14 DAYS OF FORECAST DATA AFTER FORECAST DATE,UNNAMED: 13,UNNAMED: 14,UNNAMED: 15,UNNAMED: 16,UNNAMED: 17,UNNAMED: 18,UNNAMED: 19,UNNAMED: 20,UNNAMED: 21
2026-05-01,2362,3063.0,2683,18724,78,240,785,0,0,Measured,,,,,,,,,,,
2026-05-02,1766,3103.0,2421,17012,91,236,707,0,0,Measured,,,,,,,,,,,
2026-05-03,1373,2898.0,2262,15360,87,229,653,0,0,Measured,,,,,,,,,,,
2026-05-04,1180,2796.0,2095,14560,87,235,606,0,0,Measured,,,,,,,,,,,
2026-05-05,1188,2281.0,1845,14313,100,238,743,0,0,Measured,,,,,,,,,,,
2026-05-06,1190,2230.0,1664,14276,106,222,703,0,0,Measured,,,,,,,,,,,
2026-05-07,1186,1768.0,1457,14008,95,234,611,0,0,Measured,,,,,,,,,,,
2026-05-08,1172,1766.0,1352,14632,111,221,548,0,0,Measured,,,,,,,,,,,
2026-05-09,1171,1763.0,1343,15140,131,215,485,0,0,Measured,,,,,,,,,,,
2026-05-10,1183,1760.0,1367,14728,132,215,448,0,0,Measured,,,,,,,,,,,
2026-05-11,1184,1777.0,1314,14186,128,235,418,0,0,Measured,,,,,,,,,,,
2026-05-12,1178,1748.0,1160,13260,148,603,379,0,0,Measured,,,,,,,,,,,
2026-05-13,1179,1762.0,1404,12524,169,991,343,0,0,Measured,,,,,,,,,,,
2026-05-14,1189,6436.0,1589,11443,173,1368,326,0,0,Measured,,,,,,,,,,,
2026-05-15,1176,6763.0,1856,10944,170,1222,305,0,0,Measured,,,,,,,,,,,
2026-05-16,1171,6780.0,2150,10680,182,976,284,0,0,Measured,,,,,,,,,,,
2026-05-17,1183,6807.0,2407,10990,171,654,264,0,0,Measured,,,,,,,,,,,
2026-05-18,1183,7063.0,2465,10516,168,600,253,0,0,Measured,,,,,,,,,,,
2026-05-19,1174,8522.0,2327,9963,162,581,238,0,0,Measured,,,,,,,,,,,
2026-05-20,1175,8246.0,2308,8906,175,573,222,0,0,Measured,,,,,,,,,,,
2026-05-21,1176,3970.0,2295,7489,197,571,210,0,0,Measured,,,,,,,,,,,
2026-05-22,1182,5362.0,2076,6802,207,559,198,0,0,Measured,,,,,,,,,,,
2026-05-23,1171,1789.0,2174,7065,196,560,187,0,0,Measured,,,,,,,,,,,
2026-05-24,1186,1776.0,2257,7038,142,579,181,0,0,Measured,,,,,,,,,,,
2026-05-25,1182,1773.0,2145,7308,174,571,171,0,0,Measured,,,,,,,,,,,
2026-05-26,1184,1773.0,1939,8844,184,574,166,0,0,Measured,,,,,,,,,,,
2026-05-27,1179,1771.0,1777,9565,209,568,174,0,0,Measured,,,,,,,,,,,
2026-05-28,1175,1772.0,1745,10544,198,580,184,0,0,Measured,,,,,,,,,,,
2026-05-29,1175,1771.0,1903,11548,172,582,188,0,0,Measured,,,,,,,,,,,
2026-05-30,1174,3621.0,1942,13134,165,582,187,0,0,Measured,,,,,,,,,,,
2026-05-31,1173,3656.0,2010,13588,183,577,175,0,0,Measured,,,,"change export to meet the next OMRI Target before saving (-3,500) then -5000",,,,,,,
2026-06-01,4959,3656.0,2000,14991,183,577,175,0,0,Forecasted,,,,,,,,,,,
2026-06-02,5951,3656.0,2000,14977,183,577,175,0,0,Forecasted,,,,,,,,,,,
2026-06-03,3967,5752.2,2000,14803,183,577,175,0,0,Forecasted,,,,,,,,,,,
2026-06-04,3570,5752.2,2000,14904,183,577,175,0,0,Forecasted,,,,,,,,,,,
2026-06-05,3570,5752.2,2000,14905,183,577,175,0,0,Forecasted,,,,,,,,,,,
2026-06-06,3570,5752.2,2000,14950,183,577,175,0,0,Forecasted,,,,,,,,,,,
2026-06-07,3570,5752.2,1500,14926,183,577,175,0,0,Forecasted,,,,,,,,,,,
2026-06-08,3570,5752.2,900,14834,183,577,175,0,0,Forecasted,,,,,,,,,,,
2026-06-09,3570,5752.2,900,14896,183,577,175,0,0,Forecasted,,,,,,,,,,,
2026-06-10,3570,5752.2,2000,15078,183,577,175,0,0,Forecasted,,,,,,,,,,,
2026-06-11,3570,5752.2,2000,15078,183,577,175,0,0,Forecasted,,,,,,,,,,,
2026-06-12,3570,5752.2,2000,15078,183,577,175,0,0,Forecasted,,,,,,,,,,,
2026-06-13,3570,5752.2,2000,15078,183,577,175,0,0,Forecasted,,,,,,,,,,,
2026-06-14,3570,5752.2,1500,15078,183,577,175,0,0,Forecasted,,,,,,,,,,,
2026-06-15,3570,5752.2,1500,15078,183,577,175,0,0,Forecasted,,,,,,,,,,,
2026-06-16,3570,5752.2,1500,15078,183,577,175,0,0,Forecasted,,,,,,,,,,,
2026-06-17,3570,5752.2,1500,15078,183,577,175,0,0,Forecasted,,,,,,,,,,,
2026-06-18,3570,5752.2,1500,15078,183,577,175,0,0,Forecasted,,,,,,,,,,,
2026-06-19,3570,5752.2,1500,15078,183,577,175,0,0,Forecasted,,,,,,,,,,,
2026-06-20,3570,5752.2,1500,15078,183,577,175,0,0,Forecasted,,,,,,,,,,,
2026-06-21,3570,5752.2,1500,15078,183,577,175,0,0,Forecasted,,,,,,,,,,,
2026-06-22,3570,5752.2,1500,15078,183,577,175,0,0,Forecasted,,,,,,,,,,,
2026-06-23,3570,5752.2,1500,15078,183,577,175,0,0,Forecasted,,,,,,,,,,,
2026-06-24,3570,5752.2,1500,15078,183,577,175,0,0,Forecasted,,,,,,,,,,,
