Forecast start date,,,VNS-QR,FPT-QR,,,,,,data type,,Data request:,,
6/1/2026,af,af,cfs,cfs,cfs,cfs,cfs,cfs,cfs,,,31 days of historical measured data prior to forecast date ,,
DATE,CCF,TPP,VNS,FPT,CAL,MOKE,COS,SACWEIR,FREWEIR,,DCC,14 days of forecast data after forecast date,,
5/8/2026,0,1762.2,1352,14632,111,221,548,0,0,Measured,0,,,
5/9/2026,1043.46,1760.22,1343,15140,131,215,485,0,0,Measured,0,,,
5/10/2026,827.64,1756.26,1367,14728,132,215,448,0,0,Measured,0,,,
5/11/2026,1259.28,1774.08,1314,14186,128,235,418,0,0,Measured,0,,,
5/12/2026,1043.46,1744.38,1160,13260,148,603,379,0,0,Measured,0,,,
5/13/2026,1043.46,1758.24,1404,12524,169,991,343,0,0,Measured,0,,,
5/14/2026,1029.6,6425.1,1589,11443,173,1368,326,0,0,Measured,0,,,
5/15/2026,912.78,6751.8,1856,10944,170,1222,305,0,0,Measured,0,,,
5/16/2026,1098.9,6767.64,2150,10680,182,976,284,0,0,Measured,0,,,
5/17/2026,912.78,6795.36,2407,10990,171,654,264,0,0,Measured,0,,,
5/18/2026,1098.9,7050.78,2465,10516,168,600,253,0,0,Measured,0,,,
5/19/2026,1098.9,8506.08,2327,9963,162,581,238,0,0,Measured,0,,,
5/20/2026,1098.9,8230.86,2308,8906,175,573,222,0,0,Measured,0,,,
5/21/2026,1085.04,3963.96,2295,7489,197,571,210,0,0,Measured,0,,,
5/22/2026,1085.04,5351.94,2076,6802,207,559,198,0,0,Measured,0,,,
5/23/2026,912.78,1785.96,2174,7065,196,560,187,0,0,Measured,1,,,
5/24/2026,912.78,1772.1,2257,7038,142,579,181,0,0,Measured,1,,,
5/25/2026,1098.9,1770.12,2145,7308,174,571,171,0,0,Measured,0,,,
5/26/2026,912.78,1770.12,1939,8844,184,574,166,0,0,Measured,0,,,
5/27/2026,1098.9,1768.14,1777,9565,209,568,174,0,0,Measured,0,,,
5/28/2026,912.78,1768.14,1745,10544.4,198,580,184,0,0,Measured,0,,,
5/29/2026,912.78,1768.14,1903,11548,172,582,188,0,0,Measured,0,,,
5/30/2026,1098.9,3615.48,1942,13133.6,165,581,187,0,0,Measured,1,,,
5/31/2026,1098.9,3649.14,2010,14188.4,183,577,175,0,0,Measured,1,,,
6/1/2026,4399.56,3682.8,2063,14874,189,572,161,0,0,Measured,0,,,
6/2/2026,6250.86,3682.8,1893,14742,195,563,148,0,0,Measured,0,,,
6/3/2026,3591.72,5577.66,1946,14172.8,206,554,137,0,0,Measured,0,,,
6/4/2026,3433.32,5567.76,1911,13505.6,215,542,129,0,0,Measured,0,,,
6/5/2026,3447.18,5565.78,1871,13018.8,220,518,122,0,0,Measured,0,,,
6/6/2026,2710.62,5557.86,1859,12736,229,376,117,0,0,Measured,1,,,
6/7/2026,2162.16,5532.12,1629,12552.8,211,377,112,0,0,Measured,1,,,"change export to meet the next OMRI Target before saving (-3,500) then -5000"
6/8/2026,1782,5544,1200,11881,211,377,112,0,0,Forecasted,0,,,
6/9/2026,1386,5544,1200,12194,211,377,112,0,0,Forecasted,0,,,
6/10/2026,1336.5,5544,1600,12142,211,377,112,0,0,Forecasted,0,,,
6/11/2026,1683,5544,1800,12090,211,377,112,0,0,Forecasted,0,,,
6/12/2026,1386,5544,1800,12032,211,377,112,0,0,Forecasted,0,,,
6/13/2026,1782,5544,1600,11974,211,377,112,0,0,Forecasted,1,,,
6/14/2026,1584,5544,1200,11917,211,377,112,0,0,Forecasted,1,,,
6/15/2026,1188,5544,900,12810,211,377,112,0,0,Forecasted,1,,,
6/16/2026,792,5544,900,12000,211,377,112,0,0,Forecasted,1,,,
6/17/2026,792,5544,1600,12000,211,377,112,0,0,Forecasted,1,,,
6/18/2026,1386,5544,1800,12000,211,377,112,0,0,Forecasted,1,,,
6/19/2026,1584,5544,1800,12000,211,377,112,0,0,Forecasted,1,,,
6/20/2026,1584,5544,1600,12000,211,377,112,0,0,Forecasted,1,,,
6/21/2026,1386,5544,1200,12000,211,377,112,0,0,Forecasted,1,,,
6/22/2026,1386,5544,1200,12000,211,377,112,0,0,Forecasted,1,,,
6/23/2026,1386,5544,1200,12000,211,377,112,0,0,Forecasted,1,,,
6/24/2026,1386,5544,1200,12000,211,377,112,0,0,Forecasted,1,,,
6/25/2026,1386,5544,1200,12000,211,377,112,0,0,Forecasted,1,,,
6/26/2026,1386,5544,1200,12000,211,377,112,0,0,Forecasted,1,,,
6/27/2026,1386,5544,1200,12000,211,377,112,0,0,Forecasted,1,,,
6/28/2026,1386,5544,1200,12000,211,377,112,0,0,Forecasted,1,,,
6/29/2026,1386,5544,1200,12000,211,377,112,0,0,Forecasted,1,,,
6/30/2026,1386,5544,1200,12000,211,377,112,0,0,Forecasted,1,,,
