Forecast start date,,,VNS-QR,FPT-QR,,,,,,data type,,Data request:,,
6/1/2026,af,af,cfs,cfs,cfs,cfs,cfs,cfs,cfs,,,31 days of historical measured data prior to forecast date ,,
DATE,CCF,TPP,VNS,FPT,CAL,MOKE,COS,SACWEIR,FREWEIR,,,14 days of forecast data after forecast date,,
5/8/2026,0,890,1352,14632,111,221,548,0,0,Measured,,,,
5/9/2026,527,889,1343,15140,131,215,485,0,0,Measured,,,,
5/10/2026,418,887,1367,14728,132,215,448,0,0,Measured,,,,
5/11/2026,636,896,1314,14186,128,235,418,0,0,Measured,,,,
5/12/2026,527,881,1160,13260,148,603,379,0,0,Measured,,,,
5/13/2026,527,888,1404,12524,169,991,343,0,0,Measured,,,,
5/14/2026,520,3245,1589,11443,173,1368,326,0,0,Measured,,,,
5/15/2026,461,3410,1856,10944,170,1222,305,0,0,Measured,,,,
5/16/2026,555,3418,2150,10680,182,976,284,0,0,Measured,,,,
5/17/2026,461,3432,2407,10990,171,654,264,0,0,Measured,,,,
5/18/2026,555,3561,2465,10516,168,600,253,0,0,Measured,,,,
5/19/2026,555,4296,2327,9963,162,581,238,0,0,Measured,,,,
5/20/2026,555,4157,2308,8906,175,573,222,0,0,Measured,,,,
5/21/2026,548,2002,2295,7489,197,571,210,0,0,Measured,,,,
5/22/2026,548,2703,2076,6802,207,559,198,0,0,Measured,,,,
5/23/2026,461,902,2174,7065,196,560,187,0,0,Measured,,,,
5/24/2026,461,895,2257,7038,142,579,181,0,0,Measured,,,,
5/25/2026,555,894,2145,7308,174,571,171,0,0,Measured,,,,
5/26/2026,461,894,1939,8844,184,574,166,0,0,Measured,,,,
5/27/2026,555,893,1777,9565,209,568,174,0,0,Measured,,,,
5/28/2026,461,893,1745,10544.4,198,580,184,0,0,Measured,,,,
5/29/2026,461,893,1903,11548,172,582,188,0,0,Measured,,,,
5/30/2026,555,1826,1942,13133.6,165,581,187,0,0,Measured,,,,
5/31/2026,555,1843,2010,14188.4,183,577,175,0,0,Measured,,,,
6/1/2026,2222,1860,2063,14874,189,572,161,0,0,Measured,,,,
6/2/2026,3157,1860,1893,14742,195,563,148,0,0,Measured,,,,
6/3/2026,1814,2817,1946,14172.8,206,554,137,0,0,Measured,,,,
6/4/2026,1734,2812,1911,13505.6,215,542,129,0,0,Measured,,,,
6/5/2026,1741,2811,1871,13018.8,220,518,122,0,0,Measured,,,,
6/6/2026,1369,2807,1859,12736,229,376,117,0,0,Measured,,,,
6/7/2026,1092,2794,1629,12552.8,211,377,112,0,0,Measured,,,,"change export to meet the next OMRI Target before saving (-3,500) then -5000"
6/8/2026,900,2800,1200,11881,211,377,112,0,0,Forecasted,,,,
6/9/2026,700,2800,1200,12194,211,377,112,0,0,Forecasted,,,,
6/10/2026,675,2800,1600,12142,211,377,112,0,0,Forecasted,,,,
6/11/2026,850,2800,1800,12090,211,377,112,0,0,Forecasted,,,,
6/12/2026,700,2800,1800,12032,211,377,112,0,0,Forecasted,,,,
6/13/2026,900,2800,1600,11974,211,377,112,0,0,Forecasted,,,,
6/14/2026,800,2800,1200,11917,211,377,112,0,0,Forecasted,,,,
6/15/2026,600,2800,900,12810,211,377,112,0,0,Forecasted,,,,
6/16/2026,400,2800,900,12000,211,377,112,0,0,Forecasted,,,,
6/17/2026,400,2800,1600,12000,211,377,112,0,0,Forecasted,,,,
6/18/2026,700,2800,1800,12000,211,377,112,0,0,Forecasted,,,,
6/19/2026,800,2800,1800,12000,211,377,112,0,0,Forecasted,,,,
6/20/2026,800,2800,1600,12000,211,377,112,0,0,Forecasted,,,,
6/21/2026,700,2800,1200,12000,211,377,112,0,0,Forecasted,,,,
6/22/2026,700,2800,1200,12000,211,377,112,0,0,Forecasted,,,,
6/23/2026,700,2800,1200,12000,211,377,112,0,0,Forecasted,,,,
6/24/2026,700,2800,1200,12000,211,377,112,0,0,Forecasted,,,,
6/25/2026,700,2800,1200,12000,211,377,112,0,0,Forecasted,,,,
6/26/2026,700,2800,1200,12000,211,377,112,0,0,Forecasted,,,,
6/27/2026,700,2800,1200,12000,211,377,112,0,0,Forecasted,,,,
6/28/2026,700,2800,1200,12000,211,377,112,0,0,Forecasted,,,,
6/29/2026,700,2800,1200,12000,211,377,112,0,0,Forecasted,,,,
6/30/2026,700,2800,1200,12000,211,377,112,0,0,Forecasted,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
