Week,OMR Bins,CVP Exports (cfs),SWP Exports (cfs),Total Exports (cfs),CVP Exports (%),SWP Exports (%)
Week 1,"-6,500","1,414",1183.261183,"2,597",54%,46%
Week 1,"-5,000","1,414",1183.261183,"2,597",54%,46%
Week 1,"-3,500","1,414",376.984127,"1,791",79%,21%
Week 1,"-2,000",455,503.2467532,958,47%,53%
Week 2,"-6,500","1,414",1139.97114,"2,554",55%,45%
Week 2,"-5,000","1,414",1139.97114,"2,554",55%,45%
Week 2,"-3,500","1,414",324.6753247,"1,739",81%,19%
Week 2,"-2,000",455,1139.97114,"1,595",29%,71%
Week 3,"-6,500","1,414",1161.616162,"2,576",55%,45%
Week 3,"-5,000","1,414",1161.616162,"2,576",55%,45%
Week 3,"-3,500","1,414",353.5353535,"1,768",80%,20%
Week 3,"-2,000",455,1161.616162,"1,616",28%,72%
