Forecast start date,,,VNS-QR,FPT-QR,,,,,,data type,,Data request:
6/22/2026,af,af,cfs,cfs,cfs,cfs,cfs,cfs,cfs,,,31 days of historical measured data prior to forecast date 
DATE,CCF,TPP,VNS,FPT,CAL,MOKE,COS,SACWEIR,FREWEIR,,DCC,14 days of forecast data after forecast date
5/22/2026,1182,5362,2076,6802,207,559,198,0,0,Measured,0,
5/23/2026,1171,1789,2174,7065,196,560,187,0,0,Measured,0,
5/24/2026,1186,1776,2257,7038,142,579,181,0,0,Measured,0,
5/25/2026,1182,1773,2145,7308,174,571,171,0,0,Measured,0,
5/26/2026,1184,1773,1939,8844,184,574,166,0,0,Measured,0,
5/27/2026,1179,1771,1777,9565,209,568,174,0,0,Measured,0,
5/28/2026,1175,1772,1745,10544,198,580,184,0,0,Measured,0,
5/29/2026,1175,1771,1903,11548,172,582,188,0,0,Measured,0,
5/30/2026,1174,3621,1942,13134,165,581,187,0,0,Measured,0,
5/31/2026,1173,3656,2010,14188,183,577,175,0,0,Measured,0,
6/1/2026,4958,3689,2063,14874,189,572,161,0,0,Measured,0,
6/2/2026,5940,3689,1893,14742,195,563,148,0,0,Measured,0,
6/3/2026,3948,5588,1946,14173,206,554,137,0,0,Measured,0,
6/4/2026,3559,5578,1911,13506,215,542,129,0,0,Measured,0,
6/5/2026,3570,5575,1871,13019,220,517,122,0,0,Measured,0,
6/6/2026,2968,5568,1859,12736,229,376,117,0,0,Measured,0,
6/7/2026,1972,5542,1629,12553,211,377,112,0,0,Measured,0,
6/8/2026,977,5535,1590,12049,184,387,109,0,0,Measured,0,
6/9/2026,979,5537,1492,12530,186,586,110,0,0,Measured,0,
6/10/2026,990,5549,1648,12284,223,781,105,0,0,Measured,0,
6/11/2026,1002,5566,1669,12079,243,958,102,0,0,Measured,0,
6/12/2026,972,5578,1723,12236,251,752,98,0,0,Measured,0,
6/13/2026,989,5577,1698,12358,235,497,92,0,0,Measured,0,
6/14/2026,979,5585,1407,12045,222,301,88,0,0,Measured,0,
6/15/2026,975,3619,1213,11800,215,273,84,0,0,Measured,0,
6/16/2026,589,1831,1190,11970,205,222,80,0,0,Measured,0,
6/17/2026,586,1834,1494,11938,204,214,77,0,0,Measured,0,
6/18/2026,584,1830,1581,12071,224,214,76,0,0,Measured,0,
6/19/2026,591,1827,1627,13417,241,214,76,0,0,Measured,0,
6/20/2026,585,1821,1552,14824,230,215,75,0,0,Measured,0,
6/21/2026,585,1822,1270,15169,223,215,79,0,0,Measured,0,
6/22/2026,8132,1785,1253,15384,200,200,75,0,0,Forecasted,0,
6/23/2026,8132,1785,1356,15753,200,200,75,0,0,Forecasted,0,
6/24/2026,6347,3570,1789,15972,200,200,75,0,0,Forecasted,0,
6/25/2026,6744,3570,1930,16100,200,200,75,0,0,Forecasted,0,
6/26/2026,6942,3570,1966,16210,200,200,75,0,0,Forecasted,0,
6/27/2026,6942,3570,1800,16222,200,200,75,0,0,Forecasted,0,
6/28/2026,6744,3570,1400,16150,200,200,75,0,0,Forecasted,0,
6/29/2026,6347,3570,1250,16079,200,200,75,0,0,Forecasted,0,
6/30/2026,6149,3570,1250,16022,200,200,75,0,0,Forecasted,0,
7/1/2026,6149,3570,1250,15979,200,200,75,0,0,Forecasted,0,
7/2/2026,6149,3570,1250,15979,200,200,75,0,0,Forecasted,0,
7/3/2026,6149,3570,1250,15979,200,200,75,0,0,Forecasted,1,
7/4/2026,6149,3570,1250,15979,200,200,75,0,0,Forecasted,1,
7/5/2026,6149,3570,1250,15979,200,200,75,0,0,Forecasted,1,
