date,CCF,CCF_quality,TPP,TPP_quality,VNS,VNS_quality,FPT,FPT_quality,CAL,CAL_quality,COS,COS_quality,MOKE,MOKE_quality,GEO_A,GEO_A_quality,GEO_C,GEO_C_quality,binarized_FREWEIR,Horizon_15,Horizon_20,Horizon_25,Horizon_30,Horizon_35,Horizon_40,Horizon_45,Horizon_50,Horizon_55,Horizon_60,Horizon_65,Horizon_70,Horizon_75,Horizon_80
6/8/2023,4209.857143,0,3836.428571,0,27097.57143,0,32933.14286,0,217,0,665.2857143,0,2258.571429,0,18857.14286,0,14057.14286,0,0,3.2444067,2.69713521,2.765185833,1.928657651,1.72304225,1.585857868,1.518681884,1.143877268,1.004477382,0.957408309,0.806065857,0.745791495,0.550453603,0.17510961
6/9/2023,4381.714286,0,3732.571429,0,26909,0,32759.85714,0,219.2857143,0,641.2857143,0,2251.428571,0,18714.28571,0,13971.42857,0,0,3.187404394,2.643670559,2.722440004,1.891478658,1.681019545,1.547926426,1.47130549,1.103862524,0.953013182,0.895103872,0.766473353,0.700375974,0.503405988,0.134578988
6/10/2023,4438.571429,0,3629.285714,0,26710.14286,0,33063.85714,0,220.7142857,0,618.5714286,0,2244.285714,0,18814.28571,0,14042.85714,0,0,3.24268961,2.698351622,2.76376915,1.932003379,1.729375362,1.587793112,1.523465514,1.146033525,0.984193444,0.959344506,0.807124317,0.746438682,0.557739556,0.226615772
6/11/2023,4366.428571,0,3517.142857,0,26498.71429,0,33367.57143,0,222.5714286,0,601.2857143,0,2237.142857,0,18971.42857,0,14171.42857,0,0,3.280170202,2.737177134,2.800387621,1.962076783,1.776298165,1.614280105,1.518063188,1.167416811,0.982781947,0.990817785,0.864464164,0.819813907,0.607285917,0.274600297
6/12/2023,4480.857143,0,3264.714286,0,26234.71429,0,33632,0,225,0,588.4285714,0,2230,0,19128.57143,0,14300,0,0,3.238293886,2.689457655,2.766791582,1.940174103,1.760042429,1.619838357,1.50348413,1.159306169,1.002065182,0.994024456,0.869659543,0.814011395,0.588809311,0.221530139
6/13/2023,4452.714286,0,3326.714286,0,25928.57143,0,33770.85714,0,226.5714286,0,578.7142857,0,2217.142857,0,19185.71429,0,14328.57143,0,0,3.245362997,2.68668437,2.767690659,1.948126554,1.776743174,1.631926656,1.52343452,1.182834029,1.014579535,1.005490422,0.883179903,0.807236969,0.579094946,0.214287102
6/14/2023,4953.714286,0,3058.857143,0,25595.14286,0,33371.28571,0,225.5714286,0,571.5714286,0,2162.857143,0,18957.14286,0,14128.57143,0,0,3.244429827,2.693435669,2.755023718,1.907081962,1.723122835,1.577533007,1.494047523,1.129893064,0.957215607,0.935156524,0.762130737,0.715847909,0.540963471,0.254226685
6/15/2023,5053,0,2891.857143,0,25210.14286,0,32353.85714,0,223.4285714,0,563.7142857,0,2101.428571,0,18400,0,13685.71429,0,0,3.256112337,2.689916611,2.783938646,1.946828365,1.749328732,1.594711423,1.524479866,1.172983646,0.988702536,0.959513605,0.802421331,0.757829249,0.603380322,0.290985793
6/16/2023,5191.857143,0,2765.142857,0,24760.14286,0,31141.71429,0,223.1428571,0,554.8571429,0,2037.142857,0,17657.14286,0,13100,0,0,3.458306551,2.644572735,2.341525316,1.645366311,1.580521226,1.427976966,1.43994689,1.143253207,0.934057534,0.925159156,0.804758787,0.768550992,0.63189137,0.226604283
6/17/2023,5163.571429,0,2870.714286,0,24270.71429,0,29580.57143,0,224.5714286,0,543.4285714,0,1954.285714,0,16785.71429,0,12407.14286,0,0,3.68126297,2.820862293,2.472558022,1.801517487,1.731742024,1.473973632,1.540710568,1.184108734,0.917054117,0.938462913,0.787421644,0.708444059,0.551133871,0.184678242
6/18/2023,5177,0,2973.142857,0,23729.85714,0,27806.71429,0,224.5714286,0,524,0,1868.571429,0,15814.28571,0,11627.14286,0,0,2.997420073,2.559360027,2.233387947,1.807807207,1.584755898,1.388431549,1.378770351,1.066363692,0.70908308,0.765587032,0.635637283,0.563389897,0.404928923,-0.057435174
6/19/2023,5319.714286,0,3218.428571,0,23153.14286,0,25915.85714,0,224.2857143,0,500.1428571,0,1781.428571,0,14771.42857,0,10818.57143,0,0,2.985215664,2.498411894,2.127275944,1.780862451,1.507532358,1.325958014,1.398720145,1.01774013,0.687522352,0.745900095,0.58935982,0.507928371,0.184693307,-0.418076962
6/20/2023,4820.428571,0,3459.285714,0,22537.57143,0,23967.28571,0,224.5714286,0,470.8571429,0,1700,0,13714.28571,0,10007.14286,0,0,3.029173851,2.588915825,2.292550325,1.850290775,1.572185874,1.3814044,1.458042383,1.075495124,0.752851963,0.866598904,0.745767713,0.67482841,0.439832568,0.057421029
6/21/2023,4889.714286,0,3624.714286,0,21874,0,22047.14286,0,225.5714286,0,433.5714286,0,1660,0,12685.71429,0,9188.571429,0,0,3.250831842,2.838923216,2.122994423,1.656146288,1.442452908,1.204869151,1.277945757,0.920092285,0.646713495,0.710831702,0.576659679,0.568668842,0.342553377,-0.154808626
6/22/2023,4831.428571,0,3792.571429,0,21189,0,20321.57143,0,227.4285714,0,400.7142857,0,1625.714286,0,11802.85714,0,8448.571429,0,0,3.352875948,2.913876772,2.136823177,1.63189733,1.448285222,1.251038909,1.326470137,0.978933632,0.694073439,0.742699862,0.617991388,0.609134555,0.394296825,-0.118451767
6/23/2023,4734,0,3923,0,20426.14286,0,18873,0,227.1428571,0,372.2857143,0,1572.857143,0,11145.71429,0,7728.571429,0,0,3.183700562,2.824072361,2.112189054,1.621779084,1.438524246,1.247812033,1.303528428,0.944690287,0.703873873,0.737798691,0.576468587,0.552470565,0.295225501,-0.505936205
6/24/2023,4918.857143,0,3813.857143,0,19381.28571,0,17780.42857,0,223.7142857,0,349.4285714,0,1514.285714,0,10688.57143,0,7021.428571,0,0,2.883961916,2.528754473,2.193283319,1.768520594,1.550920844,1.410899758,1.437837124,1.039334059,0.764290988,0.808434963,0.56311959,0.512143314,0.251580805,-0.412560225
6/25/2023,5347.571429,0,3714.857143,0,18256.28571,0,17046.57143,0,219.2857143,0,330,0,1434.285714,0,10417.14286,0,6440,0,0,8.220412254,7.708098412,7.589568615,7.424944878,7.111504078,6.671833038,6.283025742,4.890911579,3.856788874,3.020139456,2.432382822,2.200068951,1.720583797,0.98792845
6/26/2023,5420.142857,0,3614.571429,0,17093.42857,0,16494.71429,0,214,0,311.8571429,0,1331.857143,0,10260,0,5905.714286,0,0,8.84290123,8.557387352,8.351644516,8.269617081,7.963336468,7.607739925,7.050528049,5.468886852,3.770913124,2.4607656,1.877406597,1.656016946,1.267096758,1.034317493
6/27/2023,5276.285714,0,3515.714286,0,15899.14286,0,15951.71429,0,210.4285714,0,296,0,1202.714286,0,10108.57143,0,5371.428571,0,0,8.944952011,8.560873985,8.223771095,8.226840019,7.926642418,7.809426785,7.646692276,7.820234776,7.686019421,7.054422379,6.754282951,5.999781609,5.152256489,4.553967476
6/28/2023,4421.714286,0,3519.285714,0,14653.71429,0,15420.42857,0,211.4285714,0,282.8571429,0,1057,0,9980,0,4881.428571,0,0,9.536220551,9.156431198,8.879386902,8.651602745,8.278805733,7.971793175,7.77183485,7.127310276,6.993096352,6.359074593,6.230960369,5.539299488,4.745794773,4.143172264
6/29/2023,3567.428571,0,3520.857143,0,13394.85714,0,14979.71429,0,214.7142857,0,271.1428571,0,911.8571429,0,9842.857143,0,4424.285714,0,0,9.384410858,9.106398582,8.939288139,8.220589638,7.777499676,7.499392033,7.104894638,6.491681576,6.748766899,6.615890026,6.442792892,6.230571747,6.123579502,5.947972298
6/30/2023,2853.857143,0,3521.857143,0,12246.28571,0,14446.14286,0,220.2857143,0,260.5714286,0,823.1428571,0,9605.714286,0,4058.571429,0,0,10.15014648,9.700566292,9.336138725,8.948916435,8.535812378,8.349777222,8.201299667,8.100075722,7.701555729,7.347231388,7.126824856,7.145323277,6.94298172,6.81589365
7/1/2023,2353.857143,0,3530.142857,0,11378.57143,0,14029.42857,0,229.4285714,0,249.7142857,0,797.4285714,0,9342.857143,0,3831.428571,0,0,11.02587605,10.67214489,10.35723686,10.13253307,9.812669754,9.781497955,9.607618332,9.463781357,8.835445404,8.509784698,8.151287079,7.939693451,7.607186317,7.210125446
7/2/2023,2365.714286,0,3531.857143,0,10634.28571,0,13588,0,239,0,240.8571429,0,798.8571429,0,9078.571429,0,3610,0,0,11.26574802,10.80270863,10.59672928,10.4047718,10.01088238,9.913519859,9.730652809,9.669995308,9.208273888,9.031713486,8.646460533,8.320383072,7.876204967,7.382879257
7/3/2023,2363.857143,0,3535.571429,0,10006.28571,0,13120.71429,0,246.8571429,0,232.1428571,0,824.1428571,0,8804.285714,0,3398.571429,0,0,11.54625893,11.01431179,10.66493511,10.50981998,10.14837837,9.67912674,9.478251457,9.416030884,9.172529221,9.02147007,8.740893364,8.383674622,8.055127144,7.595776081
7/4/2023,3175.142857,0,3514.857143,0,9498,0,12700.42857,0,249.7142857,0,222.8571429,0,879,0,8560,0,3241.428571,0,0,14.44012833,14.07966328,13.537467,13.06040001,12.67377567,12.21786022,11.79512596,11.35281467,10.83218765,10.40730667,10.17151451,9.982069969,9.700022697,9.190646172
7/5/2023,4128.428571,0,3579.142857,0,9141.857143,0,12400.85714,0,249,0,214.5714286,0,957.5714286,0,8380,0,3137.142857,0,0,16.90102196,16.50310516,16.10767937,15.83837795,15.45703411,15.14801884,14.7775631,14.5398531,13.98316383,13.71770191,13.52618504,13.37060928,13.15600491,12.83460522
7/6/2023,5082.571429,0,3677.142857,0,8944.714286,0,12140.71429,0,246.8571429,0,206.7142857,0,1081.285714,0,8254.285714,0,3067.142857,0,0,17.9250412,17.32222176,16.95157814,16.6605854,16.40936661,16.08447266,15.71439075,15.48412132,15.1842804,14.97407913,14.74518013,14.44706249,14.1709156,13.91219616
7/7/2023,5894.428571,0,3773.428571,0,8846.571429,0,11945.57143,0,245.2857143,0,198.7142857,0,1202.857143,0,8170,0,3032.857143,0,0,18.60837555,18.13597488,17.75081635,17.46508217,17.23107719,16.89181519,16.61011314,16.22358894,16.02381516,15.71229649,15.43787384,15.1470623,14.76199818,14.3547821
7/8/2023,6492.142857,0,3869.857143,0,8804.571429,0,11712.71429,0,243.2857143,0,192.4285714,0,1288.571429,0,8121.428571,0,3017.142857,0,0,19.05651093,18.55740547,18.15727043,17.89507103,17.58144379,17.23951912,16.94682503,16.66103554,16.3971386,16.06915092,15.82306671,15.53265476,15.13789654,14.71938705
