VER,EXP,EAST,XGEO,RISK,event_horizon_distance
400,0,1000,1000,15,13.99
400,0,1000,1000,20,11.6
400,0,1000,1000,25,17.85
400,0,1000,1000,30,21.08
400,0,1000,1000,35,29.96
400,0,1000,1000,40,33.12
400,0,1000,1000,45,39.02
400,0,1000,1000,50,34.72
400,0,1000,1000,55,41.82
400,0,1000,1000,60,41.65
400,0,1000,1000,65,47.29
400,0,1000,1000,70,53.9
400,0,1000,1000,75,52.87
400,0,1000,1000,80,58.34
400,0,1000,5000,15,14.7
400,0,1000,5000,20,17.4
400,0,1000,5000,25,17.9
400,0,1000,5000,30,25.34
400,0,1000,5000,35,31.29
400,0,1000,5000,40,27.01
400,0,1000,5000,45,38.76
400,0,1000,5000,50,41.43
400,0,1000,5000,55,41.6
400,0,1000,5000,60,43.5
400,0,1000,5000,65,55.27
400,0,1000,5000,70,52.82
400,0,1000,5000,75,54.13
400,0,1000,5000,80,57.92
400,0,1000,9000,15,17.27
400,0,1000,9000,20,18.59
400,0,1000,9000,25,24.37
400,0,1000,9000,30,27.35
400,0,1000,9000,35,29.16
400,0,1000,9000,40,37.28
400,0,1000,9000,45,35.09
400,0,1000,9000,50,40.57
400,0,1000,9000,55,47.09
400,0,1000,9000,60,48.74
400,0,1000,9000,65,54.92
400,0,1000,9000,70,55.82
400,0,1000,9000,75,60.85
400,0,1000,9000,80,58.01
400,0,1000,13000,15,11.68
400,0,1000,13000,20,16.04
400,0,1000,13000,25,17.7
400,0,1000,13000,30,22.98
400,0,1000,13000,35,25.41
400,0,1000,13000,40,30.93
400,0,1000,13000,45,38.26
400,0,1000,13000,50,39.3
400,0,1000,13000,55,43.1
400,0,1000,13000,60,45.25
400,0,1000,13000,65,49.57
400,0,1000,13000,70,60.02
400,0,1000,13000,75,60.88
400,0,1000,13000,80,64.24
400,0,1000,17000,15,11.71
400,0,1000,17000,20,21.04
400,0,1000,17000,25,19.13
400,0,1000,17000,30,25.04
400,0,1000,17000,35,34.9
400,0,1000,17000,40,35.15
400,0,1000,17000,45,38.07
400,0,1000,17000,50,43.1
400,0,1000,17000,55,48.43
400,0,1000,17000,60,51.51
400,0,1000,17000,65,49.79
400,0,1000,17000,70,51.57
400,0,1000,17000,75,58.15
400,0,1000,17000,80,61.43
400,0,5000,1000,15,10.51
400,0,5000,1000,20,21.58
400,0,5000,1000,25,24.66
400,0,5000,1000,30,22.8
400,0,5000,1000,35,29.95
400,0,5000,1000,40,31.11
400,0,5000,1000,45,40.05
400,0,5000,1000,50,39.24
400,0,5000,1000,55,41.05
400,0,5000,1000,60,44.62
400,0,5000,1000,65,51.51
400,0,5000,1000,70,52.28
400,0,5000,1000,75,59.25
400,0,5000,1000,80,66.13
400,0,5000,5000,15,12.99
400,0,5000,5000,20,14.94
400,0,5000,5000,25,26.48
400,0,5000,5000,30,25.35
400,0,5000,5000,35,24.91
400,0,5000,5000,40,28.22
400,0,5000,5000,45,32.6
400,0,5000,5000,50,41.52
400,0,5000,5000,55,46.92
400,0,5000,5000,60,46.97
400,0,5000,5000,65,47.14
400,0,5000,5000,70,54.07
400,0,5000,5000,75,63.96
400,0,5000,5000,80,63.04
400,0,5000,9000,15,19.31
400,0,5000,9000,20,21.96
400,0,5000,9000,25,17.21
400,0,5000,9000,30,28.06
400,0,5000,9000,35,31.42
400,0,5000,9000,40,33.72
400,0,5000,9000,45,34.77
400,0,5000,9000,50,42.26
400,0,5000,9000,55,40.72
400,0,5000,9000,60,47.7
400,0,5000,9000,65,51.64
400,0,5000,9000,70,60.39
400,0,5000,9000,75,63.36
400,0,5000,9000,80,60.98
400,0,5000,13000,15,15.21
400,0,5000,13000,20,15.74
400,0,5000,13000,25,26.83
400,0,5000,13000,30,30.16
400,0,5000,13000,35,28.18
400,0,5000,13000,40,35.34
400,0,5000,13000,45,38.79
400,0,5000,13000,50,37.98
400,0,5000,13000,55,47.83
400,0,5000,13000,60,49.34
400,0,5000,13000,65,55.49
400,0,5000,13000,70,56.75
400,0,5000,13000,75,55.21
400,0,5000,13000,80,62.19
400,0,5000,17000,15,10.99
400,0,5000,17000,20,23.84
400,0,5000,17000,25,27.09
400,0,5000,17000,30,30.37
400,0,5000,17000,35,28.88
400,0,5000,17000,40,30.13
400,0,5000,17000,45,42.08
400,0,5000,17000,50,46.52
400,0,5000,17000,55,41.66
400,0,5000,17000,60,49.41
400,0,5000,17000,65,48.99
400,0,5000,17000,70,59.66
400,0,5000,17000,75,63.46
400,0,5000,17000,80,60.83
400,0,9000,1000,15,13.95
400,0,9000,1000,20,18.45
400,0,9000,1000,25,19.35
400,0,9000,1000,30,29.17
400,0,9000,1000,35,28.43
400,0,9000,1000,40,30.07
400,0,9000,1000,45,37.09
400,0,9000,1000,50,42.75
400,0,9000,1000,55,41.21
400,0,9000,1000,60,46.07
400,0,9000,1000,65,56.65
400,0,9000,1000,70,56.95
400,0,9000,1000,75,58.58
400,0,9000,1000,80,63.13
400,0,9000,5000,15,11.01
400,0,9000,5000,20,15.8
400,0,9000,5000,25,20.68
400,0,9000,5000,30,26.93
400,0,9000,5000,35,27.1
400,0,9000,5000,40,30.75
400,0,9000,5000,45,33.01
400,0,9000,5000,50,42.36
400,0,9000,5000,55,42.09
400,0,9000,5000,60,52.6
400,0,9000,5000,65,55.9
400,0,9000,5000,70,51.76
400,0,9000,5000,75,57.18
400,0,9000,5000,80,65.24
400,0,9000,9000,15,12.54
400,0,9000,9000,20,15.47
400,0,9000,9000,25,27.26
400,0,9000,9000,30,27.36
400,0,9000,9000,35,30.13
400,0,9000,9000,40,37.0
400,0,9000,9000,45,40.97
400,0,9000,9000,50,38.55
400,0,9000,9000,55,41.37
400,0,9000,9000,60,48.46
400,0,9000,9000,65,52.14
400,0,9000,9000,70,56.32
400,0,9000,9000,75,62.69
400,0,9000,9000,80,65.88
400,0,9000,13000,15,20.84
400,0,9000,13000,20,15.73
400,0,9000,13000,25,22.53
400,0,9000,13000,30,25.64
400,0,9000,13000,35,34.62
400,0,9000,13000,40,32.24
400,0,9000,13000,45,35.4
400,0,9000,13000,50,41.74
400,0,9000,13000,55,45.22
400,0,9000,13000,60,47.54
400,0,9000,13000,65,51.0
400,0,9000,13000,70,61.48
400,0,9000,13000,75,60.43
400,0,9000,13000,80,68.36
400,0,9000,17000,15,17.1
400,0,9000,17000,20,15.86
400,0,9000,17000,25,29.09
400,0,9000,17000,30,31.21
400,0,9000,17000,35,36.29
400,0,9000,17000,40,39.61
400,0,9000,17000,45,42.59
400,0,9000,17000,50,39.51
400,0,9000,17000,55,46.46
400,0,9000,17000,60,47.49
400,0,9000,17000,65,53.11
400,0,9000,17000,70,53.44
400,0,9000,17000,75,60.39
400,0,9000,17000,80,70.2
400,0,13000,1000,15,12.65
400,0,13000,1000,20,21.59
400,0,13000,1000,25,22.05
400,0,13000,1000,30,25.48
400,0,13000,1000,35,34.57
400,0,13000,1000,40,38.7
400,0,13000,1000,45,38.06
400,0,13000,1000,50,43.43
400,0,13000,1000,55,41.55
400,0,13000,1000,60,46.72
400,0,13000,1000,65,57.19
400,0,13000,1000,70,57.04
400,0,13000,1000,75,60.42
400,0,13000,1000,80,66.23
400,0,13000,5000,15,11.17
400,0,13000,5000,20,20.19
400,0,13000,5000,25,23.13
400,0,13000,5000,30,30.38
400,0,13000,5000,35,27.17
400,0,13000,5000,40,38.96
400,0,13000,5000,45,33.9
400,0,13000,5000,50,38.71
400,0,13000,5000,55,46.55
400,0,13000,5000,60,51.1
400,0,13000,5000,65,50.45
400,0,13000,5000,70,53.05
400,0,13000,5000,75,64.5
400,0,13000,5000,80,61.81
400,0,13000,9000,15,17.15
400,0,13000,9000,20,21.14
400,0,13000,9000,25,22.89
400,0,13000,9000,30,28.29
400,0,13000,9000,35,31.43
400,0,13000,9000,40,39.3
400,0,13000,9000,45,35.74
400,0,13000,9000,50,44.61
400,0,13000,9000,55,43.59
400,0,13000,9000,60,48.91
400,0,13000,9000,65,55.42
400,0,13000,9000,70,55.45
400,0,13000,9000,75,59.36
400,0,13000,9000,80,67.47
400,0,13000,13000,15,12.53
400,0,13000,13000,20,20.13
400,0,13000,13000,25,29.28
400,0,13000,13000,30,33.01
400,0,13000,13000,35,27.53
400,0,13000,13000,40,32.68
400,0,13000,13000,45,36.95
400,0,13000,13000,50,47.38
400,0,13000,13000,55,50.61
400,0,13000,13000,60,54.34
400,0,13000,13000,65,53.0
400,0,13000,13000,70,54.63
400,0,13000,13000,75,65.14
400,0,13000,13000,80,67.59
400,0,13000,17000,15,18.52
400,0,13000,17000,20,26.02
400,0,13000,17000,25,26.44
400,0,13000,17000,30,23.73
400,0,13000,17000,35,35.57
400,0,13000,17000,40,34.14
400,0,13000,17000,45,41.53
400,0,13000,17000,50,48.04
400,0,13000,17000,55,43.74
400,0,13000,17000,60,47.3
400,0,13000,17000,65,50.97
400,0,13000,17000,70,59.18
400,0,13000,17000,75,60.12
400,0,13000,17000,80,67.2
400,0,17000,1000,15,17.98
400,0,17000,1000,20,16.59
400,0,17000,1000,25,24.64
400,0,17000,1000,30,24.69
400,0,17000,1000,35,30.69
400,0,17000,1000,40,38.6
400,0,17000,1000,45,41.76
400,0,17000,1000,50,37.97
400,0,17000,1000,55,45.04
400,0,17000,1000,60,47.32
400,0,17000,1000,65,48.34
400,0,17000,1000,70,59.76
400,0,17000,1000,75,62.17
400,0,17000,1000,80,62.17
400,0,17000,5000,15,18.81
400,0,17000,5000,20,20.67
400,0,17000,5000,25,23.18
400,0,17000,5000,30,22.75
400,0,17000,5000,35,27.15
400,0,17000,5000,40,38.98
400,0,17000,5000,45,42.94
400,0,17000,5000,50,43.11
400,0,17000,5000,55,49.75
400,0,17000,5000,60,50.98
400,0,17000,5000,65,50.38
400,0,17000,5000,70,53.92
400,0,17000,5000,75,59.48
400,0,17000,5000,80,69.14
400,0,17000,9000,15,19.96
400,0,17000,9000,20,24.36
400,0,17000,9000,25,28.49
400,0,17000,9000,30,25.35
400,0,17000,9000,35,29.5
400,0,17000,9000,40,31.78
400,0,17000,9000,45,42.3
400,0,17000,9000,50,47.09
400,0,17000,9000,55,46.06
400,0,17000,9000,60,51.96
400,0,17000,9000,65,51.05
400,0,17000,9000,70,62.55
400,0,17000,9000,75,65.65
400,0,17000,9000,80,70.51
400,0,17000,13000,15,20.71
400,0,17000,13000,20,25.16
400,0,17000,13000,25,20.35
400,0,17000,13000,30,31.22
400,0,17000,13000,35,30.92
400,0,17000,13000,40,40.66
400,0,17000,13000,45,43.12
400,0,17000,13000,50,47.49
400,0,17000,13000,55,50.71
400,0,17000,13000,60,49.02
400,0,17000,13000,65,57.97
400,0,17000,13000,70,54.93
400,0,17000,13000,75,66.32
400,0,17000,13000,80,69.94
400,0,17000,17000,15,15.42
400,0,17000,17000,20,25.12
400,0,17000,17000,25,25.3
400,0,17000,17000,30,27.5
400,0,17000,17000,35,36.15
400,0,17000,17000,40,34.23
400,0,17000,17000,45,35.94
400,0,17000,17000,50,41.38
400,0,17000,17000,55,46.48
400,0,17000,17000,60,55.59
400,0,17000,17000,65,60.37
400,0,17000,17000,70,57.24
400,0,17000,17000,75,64.61
400,0,17000,17000,80,65.95
400,1000,1000,1000,15,17.76
400,1000,1000,1000,20,17.06
400,1000,1000,1000,25,24.84
400,1000,1000,1000,30,20.35
400,1000,1000,1000,35,32.65
400,1000,1000,1000,40,28.49
400,1000,1000,1000,45,40.08
400,1000,1000,1000,50,36.85
400,1000,1000,1000,55,39.03
400,1000,1000,1000,60,46.05
400,1000,1000,1000,65,52.74
400,1000,1000,1000,70,52.34
400,1000,1000,1000,75,59.01
400,1000,1000,1000,80,61.81
400,1000,1000,5000,15,12.4
400,1000,1000,5000,20,18.07
400,1000,1000,5000,25,18.6
400,1000,1000,5000,30,26.89
400,1000,1000,5000,35,23.57
400,1000,1000,5000,40,36.56
400,1000,1000,5000,45,36.43
400,1000,1000,5000,50,41.99
