VER,EXP,EAST,XGEO,RISK,event_horizon_distance,predicted_event_horizon_distance
400,0,1000,1000,15,13.99,6.165514946
400,0,1000,1000,20,11.6,5.334528923
400,0,1000,1000,25,17.85,4.769090652
400,0,1000,1000,30,21.08,4.364645958
400,0,1000,1000,35,29.96,3.473822355
400,0,1000,1000,40,33.12,3.049767733
400,0,1000,1000,45,39.02,2.552234411
400,0,1000,1000,50,34.72,2.044772863
400,0,1000,1000,55,41.82,1.814905167
400,0,1000,1000,60,41.65,1.531872392
400,0,1000,1000,65,47.29,1.458285332
400,0,1000,1000,70,53.9,1.097868204
400,0,1000,1000,75,52.87,1.128615856
400,0,1000,1000,80,58.34,0.69925791
400,0,1000,5000,15,14.7,9.157305717
400,0,1000,5000,20,17.4,8.357732773
400,0,1000,5000,25,17.9,7.996943474
400,0,1000,5000,30,25.34,7.555630684
400,0,1000,5000,35,31.29,7.146191597
400,0,1000,5000,40,27.01,7.065927505
400,0,1000,5000,45,38.76,6.568779945
400,0,1000,5000,50,41.43,6.348965168
400,0,1000,5000,55,41.6,5.760018349
400,0,1000,5000,60,43.5,4.702540874
400,0,1000,5000,65,55.27,4.490099907
400,0,1000,5000,70,52.82,3.828605413
400,0,1000,5000,75,54.13,3.116621494
400,0,1000,5000,80,57.92,2.708905935
400,0,1000,9000,15,17.27,9.070609093
400,0,1000,9000,20,18.59,8.378339767
400,0,1000,9000,25,24.37,8.072806358
400,0,1000,9000,30,27.35,7.605695724
400,0,1000,9000,35,29.16,7.260317802
400,0,1000,9000,40,37.28,7.145184517
400,0,1000,9000,45,35.09,6.62245369
400,0,1000,9000,50,40.57,6.263023376
400,0,1000,9000,55,47.09,5.670397282
400,0,1000,9000,60,48.74,4.663020611
400,0,1000,9000,65,54.92,4.484857559
400,0,1000,9000,70,55.82,3.839506626
400,0,1000,9000,75,60.85,3.17587018
400,0,1000,9000,80,58.01,2.576379538
400,0,1000,13000,15,11.68,9.130764961
400,0,1000,13000,20,16.04,8.461409569
400,0,1000,13000,25,17.7,8.077661514
400,0,1000,13000,30,22.98,7.64102602
400,0,1000,13000,35,25.41,7.335291386
400,0,1000,13000,40,30.93,7.203204155
400,0,1000,13000,45,38.26,6.693575859
400,0,1000,13000,50,39.3,6.304965019
400,0,1000,13000,55,43.1,5.591445446
400,0,1000,13000,60,45.25,4.614815235
400,0,1000,13000,65,49.57,4.355408669
400,0,1000,13000,70,60.02,3.873242378
400,0,1000,13000,75,60.88,3.244352818
400,0,1000,13000,80,64.24,2.420804977
400,0,1000,17000,15,11.71,9.103530884
400,0,1000,17000,20,21.04,8.475402832
400,0,1000,17000,25,19.13,8.082089424
400,0,1000,17000,30,25.04,7.659146786
400,0,1000,17000,35,34.9,7.348566055
400,0,1000,17000,40,35.15,7.193708897
400,0,1000,17000,45,38.07,6.669879913
400,0,1000,17000,50,43.1,6.303258896
400,0,1000,17000,55,48.43,5.597219467
400,0,1000,17000,60,51.51,4.613399029
400,0,1000,17000,65,49.79,4.354871273
400,0,1000,17000,70,51.57,3.855026245
400,0,1000,17000,75,58.15,3.257690668
400,0,1000,17000,80,61.43,2.414457798
400,0,5000,1000,15,10.51,6.249729156
400,0,5000,1000,20,21.58,5.25905323
400,0,5000,1000,25,24.66,4.699692726
400,0,5000,1000,30,22.8,4.313084602
400,0,5000,1000,35,29.95,3.564755678
400,0,5000,1000,40,31.11,3.104241848
400,0,5000,1000,45,40.05,2.495783806
400,0,5000,1000,50,39.24,1.910313725
400,0,5000,1000,55,41.05,1.621438503
400,0,5000,1000,60,44.62,1.425956726
400,0,5000,1000,65,51.51,1.303491116
400,0,5000,1000,70,52.28,0.901925325
400,0,5000,1000,75,59.25,0.983725965
400,0,5000,1000,80,66.13,0.612480938
400,0,5000,5000,15,12.99,9.043478966
400,0,5000,5000,20,14.94,8.259893417
400,0,5000,5000,25,26.48,7.885014057
400,0,5000,5000,30,25.35,7.407151699
400,0,5000,5000,35,24.91,7.109893322
400,0,5000,5000,40,28.22,6.934021473
400,0,5000,5000,45,32.6,6.348962307
400,0,5000,5000,50,41.52,6.169929981
400,0,5000,5000,55,46.92,5.586038113
400,0,5000,5000,60,46.97,4.503465176
400,0,5000,5000,65,47.14,4.226210117
400,0,5000,5000,70,54.07,3.591752529
400,0,5000,5000,75,63.96,2.898652077
400,0,5000,5000,80,63.04,2.567429543
400,0,5000,9000,15,19.31,9.134795189
400,0,5000,9000,20,21.96,8.328719139
400,0,5000,9000,25,17.21,7.995502472
400,0,5000,9000,30,28.06,7.550911903
400,0,5000,9000,35,31.42,7.244720459
400,0,5000,9000,40,33.72,7.096979141
